[2026-02-11 11:17:44,378] INFO      [HARSHIT] Starting adapter
[2026-02-11 11:17:44,379] INFO      [HARSHIT] Adapter INIT | Zerodha adapter starting
[2026-02-11 11:17:44,380] INFO      [HARSHIT] LOGIN_START | Starting Zerodha login
[2026-02-11 11:17:48,828] INFO      [HARSHIT] LOGIN_SUCCESS | Access token received: 0C0k4AL1tDXWuCb4yghyno069ZTau1sp
[2026-02-11 11:17:48,828] INFO      [HARSHIT] [INSTRUMENTS] CSV already exists
[2026-02-11 11:17:48,974] INFO      [HARSHIT] [INSTRUMENTS] Loaded 169364 rows
[2026-02-11 11:17:48,974] INFO      [HARSHIT] INSTRUMENTS_READY | Instruments loaded
[2026-02-11 11:17:48,974] INFO      [HARSHIT] Adapter READY | Zerodha adapter initialized
[2026-02-11 11:17:48,974] INFO      [HARSHIT] WS_START | Starting Zerodha WebSocket
[2026-02-11 11:17:49,073] INFO      [HARSHIT] Adapter connected successfully
[2026-02-11 11:17:49,168] INFO      [HARSHIT] [WS] Connected to Zerodha
[2026-02-11 11:18:02,878] INFO      [HARSHIT] COMMAND | action=PLACE_ORDER payload={'Account': '', 'ExchangeClientID': 'HARSHIT', 'ExchangeSegment': 'NSECM', 'ExchangeInstrumentID': 14366, 'SymbolName': 'IDEA', 'ExchangeInstrumentName': 'IDEA', 'ProductType': 'MIS', 'OrderType': 'LIMIT', 'OrderSide': 'Buy', 'TimeInForce': 'GFD', 'DisclosedQuantity': 0, 'OrderQuantity': 1, 'LimitPrice': 10.4, 'StopPrice': 0.0, 'BlitzAppOrderID': 3156807924, 'AlgoID': '123456789', 'AlgoCategory': '123654789123', 'IsFictiveOrder': 'False'}
[2026-02-11 11:18:02,879] INFO      [HARSHIT] CACHE_TEMP | blitz_id=3156807924
[2026-02-11 11:18:02,880] INFO      [HARSHIT] ZERODHA_REST_OUT | payload={'tradingsymbol': 'IDEA', 'exchange': 'NSE', 'transaction_type': 'BUY', 'order_type': 'LIMIT', 'quantity': 1, 'product': 'MIS', 'price': 10.4, 'trigger_price': 0.0, 'validity': 'DAY', 'disclosed_quantity': 0}
[2026-02-11 11:18:04,148] INFO      [HARSHIT] ZERODHA_REST_IN | payload={'status': 'success', 'data': {'order_id': '260211150772011'}}
[2026-02-11 11:18:04,148] INFO      [HARSHIT] ORDER_PLACED | blitz=3156807924 zerodha=260211150772011
